#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2011-08-17 16:51:03
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-win32-status sc-bytes cs-bytes time-taken 
2011-08-17 16:51:02 W3SVC2030797094 WS2 207.241.128.59 GET /index.html - 80 - 123.125.71.80 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - - midmichpathways.org 200 0 3057 227 1031
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2011-08-17 17:09:26
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-win32-status sc-bytes cs-bytes time-taken 
2011-08-17 17:09:26 W3SVC2030797094 WS2 207.241.128.59 GET /index.html - 80 - 38.100.21.17 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+7.0;+Windows+NT+5.2) - - www.midmichpathways.org 200 0 3042 137 46
2011-08-17 17:09:26 W3SVC2030797094 WS2 207.241.128.59 GET /friends.html - 80 - 38.100.21.17 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+7.0;+Windows+NT+5.2) - - www.midmichpathways.org 200 0 7737 149 62
2011-08-17 17:09:26 W3SVC2030797094 WS2 207.241.128.59 GET /style.css - 80 - 38.100.21.17 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+7.0;+Windows+NT+5.2) - - www.midmichpathways.org 200 0 2198 146 31
2011-08-17 17:09:26 W3SVC2030797094 WS2 207.241.128.59 GET /mission.html - 80 - 38.100.21.17 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+7.0;+Windows+NT+5.2) - - www.midmichpathways.org 200 0 4243 149 62
2011-08-17 17:09:26 W3SVC2030797094 WS2 207.241.128.59 GET /map.html - 80 - 38.100.21.17 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+7.0;+Windows+NT+5.2) - - www.midmichpathways.org 200 0 1880 145 31
2011-08-17 17:09:26 W3SVC2030797094 WS2 207.241.128.59 GET /contact.html - 80 - 38.100.21.17 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+7.0;+Windows+NT+5.2) - - www.midmichpathways.org 200 0 1583 149 46
2011-08-17 17:09:26 W3SVC2030797094 WS2 207.241.128.59 GET /faq.html - 80 - 38.100.21.17 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+7.0;+Windows+NT+5.2) - - www.midmichpathways.org 200 0 5096 145 31
2011-08-17 17:09:26 W3SVC2030797094 WS2 207.241.128.59 GET /index.html - 80 - 38.100.21.17 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+7.0;+Windows+NT+5.2) - - www.midmichpathways.org 200 0 2981 147 31
2011-08-17 17:09:26 W3SVC2030797094 WS2 207.241.128.59 GET /SpryAssets/SpryValidationTextField.css - 80 - 38.100.21.17 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+7.0;+Windows+NT+5.2) - - www.midmichpathways.org 200 0 3373 175 31
2011-08-17 17:09:26 W3SVC2030797094 WS2 207.241.128.59 GET /SpryAssets/SpryValidationTextarea.css - 80 - 38.100.21.17 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+7.0;+Windows+NT+5.2) - - www.midmichpathways.org 200 0 2916 174 46
