#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-02-03 05:33:35
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-win32-status sc-bytes cs-bytes time-taken 
2013-02-03 05:33:34 W3SVC2030797094 WS2 207.241.128.59 GET /index.html - 80 - 50.23.23.81 HTTP/1.1 Mozilla/5.0+(Linux;+en-US;+rv:1.9.0.5)+Gecko/2008120122+Firefox/3.0.5 - - www.midmichpathways.org 200 0 3042 177 140
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-02-03 06:46:37
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-win32-status sc-bytes cs-bytes time-taken 
2013-02-03 06:46:37 W3SVC2030797094 WS2 207.241.128.59 GET /index.html - 80 - 220.181.51.116 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - - midmichpathways.org 200 0 3000 237 953
2013-02-03 06:46:41 W3SVC2030797094 WS2 207.241.128.59 GET /index.html - 80 - 220.181.51.121 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - - midmichpathways.org 200 0 3057 227 625
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-02-03 07:25:35
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-win32-status sc-bytes cs-bytes time-taken 
2013-02-03 07:25:35 W3SVC2030797094 WS2 207.241.128.59 GET /index.html - 80 - 66.249.73.73 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - - midmichpathways.org 304 0 272 283 46
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-02-03 09:39:32
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-win32-status sc-bytes cs-bytes time-taken 
2013-02-03 09:39:32 W3SVC2030797094 WS2 207.241.128.59 GET /robots.txt - 80 - 66.249.73.181 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - - www.midmichpathways.org 404 2 1795 273 31
2013-02-03 09:39:32 W3SVC2030797094 WS2 207.241.128.59 GET /friends.html - 80 - 66.249.73.181 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - - www.midmichpathways.org 200 0 7737 249 78
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-02-03 12:44:00
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-win32-status sc-bytes cs-bytes time-taken 
2013-02-03 12:44:00 W3SVC2030797094 WS2 207.241.128.59 GET /faq.html - 80 - 123.125.68.118 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - - midmichpathways.org 200 0 5115 235 1171
2013-02-03 12:48:53 W3SVC2030797094 WS2 207.241.128.59 GET /index.html - 80 - 180.76.6.222 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - - midmichpathways.org 200 0 3057 221 453
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-02-03 16:54:44
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-win32-status sc-bytes cs-bytes time-taken 
2013-02-03 16:54:44 W3SVC2030797094 WS2 207.241.128.59 GET /contact.html - 80 - 220.181.51.121 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - - midmichpathways.org 200 0 1602 239 468
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-02-03 17:28:35
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-win32-status sc-bytes cs-bytes time-taken 
2013-02-03 17:28:35 W3SVC2030797094 WS2 207.241.128.59 GET /robots.txt - 80 - 66.249.73.181 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - - www.midmichpathways.org 404 2 1795 273 31
2013-02-03 17:28:35 W3SVC2030797094 WS2 207.241.128.59 GET /map.html - 80 - 66.249.73.181 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - - www.midmichpathways.org 200 0 1880 245 93
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-02-03 20:46:46
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-win32-status sc-bytes cs-bytes time-taken 
2013-02-03 20:46:46 W3SVC2030797094 WS2 207.241.128.59 GET /index.html - 80 - 180.76.5.167 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - - www.midmichpathways.org 304 0 295 315 250
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-02-04 00:47:09
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-win32-status sc-bytes cs-bytes time-taken 
2013-02-04 00:47:09 W3SVC2030797094 WS2 207.241.128.59 GET /style.css - 80 - 123.125.68.116 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - - midmichpathways.org 200 0 2217 236 468
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-02-04 04:41:19
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-win32-status sc-bytes cs-bytes time-taken 
2013-02-04 04:41:19 W3SVC2030797094 WS2 207.241.128.59 GET /style.css - 80 - 180.76.5.62 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - - www.midmichpathways.org 200 0 2217 234 296
